"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.686100190E-1,-1.180500090E-1,3.246000051E0,8.188050270E0,8.808780810E0
5.711049040E-1,-6.105000153E-2,3.189000130E0,8.149950027E0,8.751864623E0
5.735982830E-1,-6.105000153E-2,3.189000130E0,8.149950027E0,8.751864623E0
5.760916700E-1,-3.000000026E-3,3.150000095E0,8.110950470E0,8.701150908E0
5.785854000E-1,1.500000060E-2,3.150000095E0,8.110950470E0,8.701163320E0
5.810791310E-1,7.200000435E-2,3.112050056E0,8.072999954E0,8.652361979E0
5.835723220E-1,9.105000645E-2,3.112050056E0,8.072999954E0,8.652541472E0
5.860655150E-1,1.300500035E-1,3.073950052E0,8.053950310E0,8.621612234E0
5.885581640E-1,1.489500105E-1,3.093000174E0,8.072999954E0,8.646511692E0
5.910508170E-1,1.870500147E-1,3.073950052E0,8.053950310E0,8.622660391E0
5.935449720E-1,1.680000126E-1,3.093000174E0,8.072999954E0,8.646860837E0
5.960391250E-1,1.870500147E-1,3.055050135E0,8.053950310E0,8.615940728E0
5.985338950E-1,1.680000126E-1,3.055050135E0,8.072999954E0,8.633358766E0
6.010286640E-1,1.870500147E-1,3.016050100E0,8.072999954E0,8.620027504E0
6.035223320E-1,1.680000126E-1,3.016050100E0,8.110950470E0,8.655189180E0
6.060159870E-1,1.870500147E-1,2.977950096E0,8.092050552E0,8.624642406E0
6.085090630E-1,1.680000126E-1,2.977950096E0,8.131050110E0,8.660853692E0
6.110021400E-1,1.870500147E-1,2.940000057E0,8.110950470E0,8.629374576E0
6.134954100E-1,1.680000126E-1,2.940000057E0,8.131050110E0,8.647878366E0
6.159886790E-1,1.680000126E-1,2.901000023E0,8.110950470E0,8.615772900E0
6.184801970E-1,1.489500105E-1,2.920950174E0,8.131050110E0,8.641071225E0
6.209717360E-1,1.680000126E-1,2.901000023E0,8.110950470E0,8.615772900E0
6.234650830E-1,1.489500105E-1,2.901000023E0,8.131050110E0,8.634347869E0
6.259584280E-1,1.489500105E-1,2.881950140E0,8.110950470E0,8.609026672E0
6.284518510E-1,1.300500035E-1,2.901000023E0,8.131050110E0,8.634042508E0
6.309452740E-1,1.300500035E-1,2.881950140E0,8.110950470E0,8.608720412E0
6.334384520E-1,1.110000089E-1,2.901000023E0,8.131050110E0,8.633776579E0
6.359316450E-1,1.110000089E-1,2.881950140E0,8.110950470E0,8.608453702E0
6.384242990E-1,7.200000435E-2,2.901000023E0,8.131050110E0,8.633363251E0
6.409169520E-1,7.200000435E-2,2.881950140E0,8.110950470E0,8.608039157E0
6.434092610E-1,3.405000269E-2,2.901000023E0,8.131050110E0,8.633130164E0
6.459015680E-1,3.405000269E-2,2.881950140E0,8.110950470E0,8.607805385E0
6.483939770E-1,-3.000000026E-3,2.901000023E0,8.149950027E0,8.650866753E0
6.508864000E-1,1.500000060E-2,2.881950140E0,8.149950027E0,8.644509648E0
6.533804380E-1,-2.295000106E-2,2.901000023E0,8.169000626E0,8.668846466E0
6.558744770E-1,-3.000000026E-3,2.881950140E0,8.169000626E0,8.662460207E0
6.583675140E-1,-4.200000316E-2,2.901000023E0,8.188050270E0,8.686871264E0
6.608605530E-1,-2.295000106E-2,2.881950140E0,8.169000626E0,8.662490088E0
6.633546890E-1,-6.105000153E-2,2.901000023E0,8.188050270E0,8.686984256E0
6.658488420E-1,-4.200000316E-2,2.881950140E0,8.169000626E0,8.662561505E0
6.683423800E-1,-6.105000153E-2,2.901000023E0,8.188050270E0,8.686984256E0
6.708359190E-1,-4.200000316E-2,2.881950140E0,8.169000626E0,8.662561505E0
6.733265720E-1,-4.200000316E-2,2.901000023E0,8.188050270E0,8.686871264E0
6.758172270E-1,-2.295000106E-2,2.881950140E0,8.149950027E0,8.644527099E0
6.783101660E-1,-2.295000106E-2,2.920950174E0,8.149950027E0,8.657607179E0
6.808030870E-1,-3.000000026E-3,2.920950174E0,8.110950470E0,8.620874460E0
6.832945860E-1,-2.295000106E-2,2.940000057E0,8.110950470E0,8.627377618E0
6.857860870E-1,-3.000000026E-3,2.920950174E0,8.072999954E0,8.585178343E0
6.882781260E-1,-2.295000106E-2,2.940000057E0,8.092050552E0,8.609611442E0
6.907701650E-1,1.500000060E-2,2.940000057E0,8.072999954E0,8.591690963E0
6.932616450E-1,-3.000000026E-3,2.959050179E0,8.092050552E0,8.616105216E0
6.957531460E-1,3.405000269E-2,2.940000057E0,8.092050552E0,8.609648186E0
6.982465320E-1,1.500000060E-2,2.959050179E0,8.149950027E0,8.670518347E0
7.007399150E-1,3.405000269E-2,2.940000057E0,8.686050415E0,9.170181653E0
7.032331450E-1,1.500000060E-2,2.959050179E0,8.704950333E0,9.194148316E0
7.057263760E-1,3.405000269E-2,2.940000057E0,8.723999977E0,9.206135744E0
7.082180600E-1,1.500000060E-2,2.940000057E0,8.800950050E0,9.279038050E0
7.107097530E-1,5.295000225E-2,2.901000023E0,9.355950356E0,9.795530200E0
7.132053320E-1,3.405000269E-2,2.920950174E0,9.376049995E0,9.820561228E0
7.157009070E-1,9.105000645E-2,2.901000023E0,9.355950356E0,9.795810242E0
7.181927110E-1,1.110000089E-1,2.901000023E0,9.394950867E0,9.833271273E0
7.206845220E-1,1.680000126E-1,2.863050222E0,9.394950867E0,9.822951815E0
7.231779120E-1,1.680000126E-1,2.863050222E0,9.414000511E0,9.841173010E0
7.256712950E-1,2.260500044E-1,2.824950218E0,9.394950867E0,9.813080257E0
7.281631780E-1,2.639999986E-1,2.824950218E0,9.414000511E0,9.832265525E0
7.306550650E-1,3.210000098E-1,2.785950184E0,9.394950867E0,9.804573485E0
7.331502970E-1,3.400500119E-1,2.767050028E0,9.414000511E0,9.818126374E0
7.356455260E-1,3.790500164E-1,2.728950024E0,9.394950867E0,9.790605136E0
7.381387020E-1,3.600000143E-1,2.728950024E0,9.414000511E0,9.808168732E0
7.406318970E-1,3.979500234E-1,2.691000223E0,9.376049995E0,9.762692248E0
7.431254360E-1,4.170000255E-1,2.691000223E0,9.376049995E0,9.763487325E0
7.456189730E-1,4.549500346E-1,2.652000189E0,9.337050438E0,9.717026058E0
7.481122030E-1,4.549500346E-1,2.652000189E0,9.318000793E0,9.698722768E0
7.506054340E-1,4.939500093E-1,2.614050150E0,9.241950035E0,9.617218166E0
7.530991130E-1,4.939500093E-1,2.614050150E0,8.704950333E0,9.102384583E0
7.555928040E-1,5.130000114E-1,2.575950146E0,8.686050415E0,9.074478496E0
7.580853030E-1,5.130000114E-1,2.595000029E0,8.686050415E0,9.079904513E0
7.605778040E-1,5.320500135E-1,2.575950146E0,8.629050255E0,9.021036785E0
7.630725360E-1,5.320500135E-1,2.595000029E0,8.092050552E0,8.514598317E0
7.655672650E-1,5.509500504E-1,2.557050228E0,8.053950310E0,8.468067514E0
7.680591340E-1,5.509500504E-1,2.557050228E0,8.035050392E0,8.450093883E0
7.705510210E-1,5.700000525E-1,2.518050194E0,7.977000237E0,8.384390831E0
7.730451380E-1,5.700000525E-1,2.518050194E0,7.939050198E0,8.348292932E0
7.755392510E-1,5.890500546E-1,2.461050034E0,7.306950569E0,7.732740385E0
7.780337120E-1,5.890500546E-1,2.442000151E0,7.306950569E0,7.726698604E0
7.805281750E-1,6.090000272E-1,2.365050077E0,7.269000530E0,7.668292614E0
7.830228090E-1,5.700000525E-1,2.326950073E0,7.249050140E0,7.634679079E0
7.855174640E-1,5.890500546E-1,2.250000000E0,7.192050457E0,7.558774355E0
7.880114620E-1,5.509500504E-1,2.230950117E0,7.153950214E0,7.513966200E0
7.905054630E-1,5.509500504E-1,2.173950195E0,7.077000141E0,7.423849164E0
7.929966300E-1,5.320500135E-1,2.173950195E0,7.039050102E0,7.386295622E0
7.954878230E-1,5.320500135E-1,2.154000044E0,6.961950302E0,7.306951855E0
7.979798240E-1,5.130000114E-1,2.173950195E0,6.924000263E0,7.275369964E0
8.004718230E-1,5.320500135E-1,2.154000044E0,6.865950108E0,7.215543243E0
8.029641300E-1,5.130000114E-1,2.193000078E0,6.847050190E0,7.207948020E0
8.054564390E-1,5.320500135E-1,2.193000078E0,6.808950424E0,7.173153591E0
8.079509390E-1,5.320500135E-1,2.230950117E0,6.828000546E0,7.202902685E0
8.104454380E-1,5.700000525E-1,2.230950117E0,6.808950424E0,7.187756560E0
8.129393990E-1,5.700000525E-1,2.269050121E0,6.828000546E0,7.217692149E0
8.154333620E-1,6.280500293E-1,2.269050121E0,6.847050190E0,7.240520119E0
8.179255540E-1,6.469500065E-1,2.287950039E0,6.904950142E0,7.302848496E0
8.204177470E-1,6.850500107E-1,2.269050121E0,6.943050385E0,7.336472627E0
8.229112470E-1,7.039500475E-1,2.287950039E0,7.633050442E0,7.999607496E0
8.254047460E-1,7.429500222E-1,2.250000000E0,7.633050442E0,7.992367220E0
8.278975140E-1,7.240500450E-1,2.230950117E0,7.690050602E0,8.039792606E0
8.303902850E-1,7.429500222E-1,1.656000137E0,8.245050430E0,8.442462188E0
8.328840160E-1,7.240500450E-1,1.656000137E0,8.284049988E0,8.478919101E0
8.353777470E-1,7.429500222E-1,1.599000096E0,8.322000504E0,8.506730772E0
8.378724530E-1,6.850500107E-1,1.561050057E0,9.012000084E0,9.171821864E0
8.403671840E-1,7.039500475E-1,9.859500527E-1,9.012000084E0,9.093062668E0
