"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.465349430E-1,1.699950099E0,9.000000544E-3,1.002705002E1,1.017013488E1
4.490044700E-1,2.581050158E0,-9.000000544E-3,1.004595089E1,1.037222398E1
4.514740070E-1,3.252000093E0,9.000000544E-3,1.010295010E1,1.061344366E1
4.539415810E-1,3.328950167E0,-9.000000544E-3,1.012305069E1,1.065636643E1
4.564091600E-1,4.554000378E0,9.000000544E-3,1.018005085E1,1.115223905E1
4.588781990E-1,5.340000153E0,-2.805000171E-2,1.018005085E1,1.149564369E1
4.613472360E-1,5.359050274E0,-9.000000544E-3,1.019895077E1,1.152120209E1
4.638150860E-1,6.259050369E0,-2.805000171E-2,1.018005085E1,1.195031103E1
4.662829350E-1,6.259050369E0,-9.000000544E-3,1.019895077E1,1.196638581E1
4.687503190E-1,6.297000408E0,-2.805000171E-2,1.016100025E1,1.195403392E1
4.712177040E-1,6.297000408E0,-9.000000544E-3,1.016100025E1,1.195400440E1
4.736852810E-1,6.316950321E0,-2.805000171E-2,1.010295010E1,1.191529474E1
4.761528580E-1,6.259050369E0,-9.000000544E-3,1.008405018E1,1.186860820E1
4.786199140E-1,5.340000153E0,-2.805000171E-2,1.002705002E1,1.136037502E1
4.810869530E-1,5.263050079E0,-9.000000544E-3,1.000800037E1,1.130751293E1
4.835542230E-1,4.114050388E0,-2.805000171E-2,9.931050301E0,1.074950964E1
4.860214920E-1,3.252000093E0,-9.000000544E-3,9.337050438E0,9.887168274E0
4.884905300E-1,2.275050163E0,-2.805000171E-2,9.318000793E0,9.591755774E0
4.909595690E-1,1.471050024E0,-9.000000544E-3,9.318000793E0,9.433409138E0
4.934280380E-1,4.360500276E-1,-2.805000171E-2,9.280050278E0,9.290331511E0
4.958965010E-1,-6.160500050E-1,-9.000000544E-3,9.261000633E0,9.281472477E0
4.983650010E-1,-1.708050132E0,-2.805000171E-2,9.222000122E0,9.378886304E0
5.008335000E-1,-2.532000065E0,-9.000000544E-3,9.222000122E0,9.563283515E0
5.033005760E-1,-3.240000248E0,-2.805000171E-2,9.184050560E0,9.738848654E0
5.057676550E-1,-4.141050339E0,-9.000000544E-3,9.202950478E0,1.009171325E1
5.082336540E-1,-4.773000240E0,-2.805000171E-2,9.184050560E0,1.035031897E1
5.106996550E-1,-4.810950279E0,-9.000000544E-3,9.222000122E0,1.040147152E1
5.131666940E-1,-4.810950279E0,-2.805000171E-2,9.241950035E0,1.041919718E1
5.156337310E-1,-4.849050045E0,-9.000000544E-3,9.318000793E0,1.050421373E1
5.181031160E-1,-4.792050362E0,-2.805000171E-2,9.853950500E0,1.095741183E1
5.205725010E-1,-3.987000227E0,9.000000544E-3,9.874050140E0,1.064862047E1
5.230411350E-1,-3.240000248E0,9.000000544E-3,9.892950058E0,1.041000209E1
5.255097520E-1,-2.377950191E0,4.695000127E-2,9.969000816E0,1.024879645E1
5.279771740E-1,-1.402050018E0,4.695000127E-2,1.063995075E1,1.073203152E1
5.304445970E-1,-6.930000186E-1,8.595000207E-2,1.067805004E1,1.070085927E1
5.329168690E-1,1.300500035E-1,8.595000207E-2,1.069695091E1,1.069808671E1
5.353891360E-1,7.999500632E-1,1.429500133E-1,1.077405071E1,1.080465287E1
5.378565120E-1,8.770500422E-1,1.620000005E-1,1.140600014E1,1.144081727E1
5.403239010E-1,1.585050106E0,2.010000050E-1,1.144395065E1,1.155494662E1
5.427932870E-1,1.605000019E0,2.200500071E-1,1.144395065E1,1.155804714E1
5.452626700E-1,1.624050021E0,2.770500183E-1,1.150200081E1,1.161939404E1
5.477317460E-1,1.681050062E0,2.959500253E-1,1.152105045E1,1.164680726E1
5.502008230E-1,1.681050062E0,3.540000021E-1,1.157805061E1,1.170480676E1
5.526689810E-1,1.699950099E0,3.540000021E-1,1.159695053E1,1.172622735E1
5.551371360E-1,1.662000060E0,3.919500113E-1,1.165500069E1,1.177942741E1
5.576040580E-1,1.642950058E0,3.919500113E-1,1.167405033E1,1.179560769E1
5.600709810E-1,1.011000037E0,4.309500158E-1,1.173195076E1,1.178331480E1
5.625371740E-1,1.011000037E0,4.110000134E-1,1.175100040E1,1.180156992E1
5.650033670E-1,4.170000255E-1,4.309500158E-1,1.180800056E1,1.182321802E1
5.674725650E-1,3.979500234E-1,4.110000134E-1,1.182705021E1,1.184087843E1
5.699417560E-1,3.400500119E-1,4.309500158E-1,1.188495064E1,1.189762176E1
5.724094470E-1,3.019500077E-1,4.110000134E-1,1.188495064E1,1.189588780E1
5.748771400E-1,2.449500114E-1,4.309500158E-1,1.190400028E1,1.191431665E1
5.773479110E-1,2.639999986E-1,4.110000134E-1,1.188495064E1,1.189498502E1
5.798186780E-1,2.260500044E-1,4.309500158E-1,1.186605072E1,1.187602527E1
5.822879470E-1,2.449500114E-1,4.110000134E-1,1.123395061E1,1.124413482E1
5.847572180E-1,2.449500114E-1,4.309500158E-1,1.121400070E1,1.122495123E1
5.872286030E-1,2.830500007E-1,4.110000134E-1,1.052505016E1,1.053687426E1
5.896999860E-1,3.019500077E-1,4.309500158E-1,1.050600052E1,1.051917005E1
5.921688690E-1,3.600000143E-1,3.919500113E-1,9.816000938E0,9.830417043E0
5.946377560E-1,1.011000037E0,3.919500113E-1,9.816000938E0,9.875708598E0
5.971065690E-1,1.030050039E0,3.540000021E-1,9.759000778E0,9.819593437E0
5.995753760E-1,1.048950076E0,3.540000021E-1,9.739950180E0,9.802665034E0
6.020438000E-1,1.662000060E0,3.160500228E-1,9.682050705E0,9.828745478E0
6.045122230E-1,1.662000060E0,2.959500253E-1,9.682050705E0,9.828119681E0
6.069799140E-1,1.699950099E0,2.580000162E-1,9.663000107E0,9.814783004E0
6.094476070E-1,1.738950133E0,2.580000162E-1,9.682050705E0,9.840356570E0
6.119185840E-1,1.815000057E0,2.389500141E-1,9.700950623E0,9.872171256E0
6.143895450E-1,1.834050059E0,2.580000162E-1,1.031400013E1,1.047897430E1
6.168605820E-1,1.891950130E0,2.580000162E-1,1.031400013E1,1.048926299E1
6.193316210E-1,1.911000133E0,3.160500228E-1,1.039095020E1,1.056994112E1
6.217976180E-1,1.930050135E0,3.540000021E-1,1.104195023E1,1.121494870E1
6.242636210E-1,1.911000133E0,1.138950109E0,1.109895039E1,1.131970974E1
6.267314940E-1,1.911000133E0,1.138950109E0,1.165500069E1,1.186541908E1
6.291993770E-1,1.854000092E0,1.216050029E0,1.171200085E1,1.192002759E1
6.316696460E-1,1.815000057E0,2.001000166E0,1.230600071E1,1.259904283E1
6.341399150E-1,1.011000037E0,2.059050083E0,1.236405087E1,1.257503726E1
6.366093370E-1,1.011000037E0,2.632950068E0,1.295700073E1,1.326040780E1
6.390787600E-1,9.529500604E-1,2.691000223E0,1.299600029E1,1.330584907E1
6.415474860E-1,9.150000215E-1,2.728950024E0,1.301505089E1,1.332951398E1
6.440162170E-1,1.870500147E-1,3.534000158E0,1.359000111E1,1.404322879E1
6.464839480E-1,2.059500068E-1,3.553050280E0,1.357005024E1,1.402900015E1
6.489516790E-1,1.489500105E-1,4.165950298E0,1.360905075E1,1.423318623E1
6.514196790E-1,-4.819500148E-1,4.165950298E0,1.360905075E1,1.424056460E1
6.538876800E-1,-5.010000467E-1,4.222949982E0,1.362795067E1,1.427604101E1
6.563548800E-1,-5.209500194E-1,4.855050087E0,1.360905075E1,1.445853252E1
6.588221110E-1,-5.779500008E-1,4.893000126E0,1.362795067E1,1.449125653E1
6.612902280E-1,-6.160500050E-1,4.912950039E0,1.360905075E1,1.448181128E1
6.637583430E-1,-1.324950099E0,4.969950199E0,1.362795067E1,1.456629456E1
6.662277660E-1,-1.306050062E0,5.008050442E0,1.360905075E1,1.455996560E1
6.686971890E-1,-1.344000101E0,5.583000183E0,1.362795067E1,1.478841664E1
6.711690350E-1,-1.363050103E0,5.583000183E0,1.359000111E1,1.475519999E1
6.736408800E-1,-1.381950021E0,5.620950222E0,1.359000111E1,1.477135733E1
6.761109940E-1,-1.363050103E0,5.620950222E0,1.355100060E1,1.473372336E1
6.785811110E-1,-1.363050103E0,5.679000378E0,1.357005024E1,1.477346318E1
6.810503810E-1,-7.890000343E-1,5.698050499E0,1.355100060E1,1.472141018E1
6.835196500E-1,-7.699500322E-1,5.755050182E0,1.357005024E1,1.476007077E1
6.859877990E-1,1.300500035E-1,5.794050217E0,1.355100060E1,1.473830207E1
6.884559520E-1,1.489500105E-1,5.869950294E0,1.357005024E1,1.478596517E1
6.909246840E-1,7.429500222E-1,5.908950329E0,1.355100060E1,1.480193521E1
6.933934150E-1,7.620000243E-1,5.985000134E0,1.355100060E1,1.483342468E1
6.958632600E-1,1.356000066E0,6.024000168E0,1.347495079E1,1.482233494E1
6.983331070E-1,1.375050068E0,6.081000328E0,1.272795105E1,1.417286371E1
7.007992680E-1,1.969050050E0,6.100050449E0,1.267005062E1,1.419922379E1
7.032654250E-1,1.948950052E0,6.157950401E0,1.188495064E1,1.352667036E1
7.057317710E-1,2.007000208E0,6.177000523E0,1.180800056E1,1.347635940E1
